Código Postal,Asentamiento,Tipo de Asentamiento,Municipio,Estado,Ciudad,
75790,Nicolás Bravo 3a Sección,Fraccionamiento,Tehuacán,Puebla,Tehuacán,
75796,Nicolás Bravo 2a Sección,Colonia,Tehuacán,Puebla,Tehuacán,
75860,San Antonio Cañada Primera Sección,Colonia,San Antonio Cañada,Puebla,,
75900,Sección Juquilita,Colonia,Vicente Guerrero,Puebla,,
72595,Quetzalcoatl 1a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72595,Quetzalcoatl 2a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72700,Fuentes del Molino Sección Arboledas,Fraccionamiento,Cuautlancingo,Puebla,Cuautlancingo,
72754,Momoxpan 2a Sección,Conjunto habitacional,San Pedro Cholula,Puebla,San Pedro Cholula,
72768,Jardines de San Diego 2da. Sección,Conjunto habitacional,San Pedro Cholula,Puebla,San Pedro Cholula,
72825,Geovillas Santa Clara Sección I y II,Colonia,San Andrés Cholula,Puebla,San Andrés Cholula,
72510,Seis de Enero,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
74053,6 de Enero,Colonia,San Martín Texmelucan,Puebla,San Martín Texmelucan de Labastida,
72813,Acueducto San Román,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72704,Villas Punta Agaves,Fraccionamiento,Cuautlancingo,Puebla,Cuautlancingo,
72704,Parque Agaves,Fraccionamiento,Cuautlancingo,Puebla,Cuautlancingo,
72825,Agaves Residencial,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72130,Las Alamedas,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72837,Villa Alejandra,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72070,Nueva Aurora Popular,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72470,Popular Castillotla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72470,Popular Emiliano Zapata,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72470,Popular Coatepec,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72764,Cholollan,Fraccionamiento,San Pedro Cholula,Puebla,San Pedro Cholula,
72814,Almanares Cholollan,Unidad habitacional,San Andrés Cholula,Puebla,San Andrés Cholula,
72050,Torres 475,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 4a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Santa Lucía 4,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Santa Lucía 4 2da. Sección,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72707,La Cumbre 4,Fraccionamiento,Cuautlancingo,Puebla,Cuautlancingo,
72712,Jardines del Pilar 4,Fraccionamiento,Cuautlancingo,Puebla,,
72994,San Diego Icatepec 4a. Sección,Colonia,Amozoc,Puebla,Amozoc,
75515,Los Reyes Altamira,Ranchería,Palmar de Bravo,Puebla,,
74240,Alta Vista,Colonia,Atlixco,Puebla,Atlixco,
74905,Alta Luz Cuatro Rayas,Pueblo,Ixcaquixtla,Puebla,,
75087,Alta Luz,Ranchería,Quimixtlán,Puebla,,
75147,Alta Luz,Ranchería,Soltepec,Puebla,,
72478,Unidad Alta Vista,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75750,Zona Alta,Fraccionamiento,Tehuacán,Puebla,Tehuacán,
72830,Alta Vista,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
73300,Loma Alta,Ejido,Chignahuapan,Puebla,,
72080,Del Refugio,Barrio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,El Refugio H Viva 2000,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,El Refugio,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,Villas del Refugio,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72000,San Francisco,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72014,San Pablo Xochimehuacan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72014,San José los Cerritos,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72016,San José el Conde,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72016,Villas San Gregorio,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72017,Nueva San Salvador,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72017,Villas San José,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72020,San José Cuatro Caminos,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72020,San Rafael Oriente,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72020,San Jerónimo,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72029,San Rafael Poniente,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72030,San Felipe Hueyotlipan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72030,Plazuelas San José,Condominio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72040,Villas San Felipe,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72044,San Bernardo,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72044,Plaza San Alberto,Zona comercial,Puebla,Puebla,Heroica Puebla de Zaragoza,
72050,San Miguel Hueyotlipan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72070,Plaza San Pedro,Zona comercial,Puebla,Puebla,Heroica Puebla de Zaragoza,
72080,Real de San Antonio,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72089,San Antonio,Barrio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72090,Villa San Alejandro,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72090,San Sebastián,Barrio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72090,San Miguelito,Barrio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72090,San Matías,Barrio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,San Cristóbal Tulcingo Caleras,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,San Jerónimo Caleras,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,San José la Cañada,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,Colonial San Jerónimo,Condominio,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,Del Valle (San Jerónimo Caleras),Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72103,San Juan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72103,Lomas de San Jerónimo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72103,Xaxalpa (San Jerónimo),Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72106,San Cristóbal Tulcingo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72108,San Juan Tulcingo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72110,San José las Flores,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72120,San José Guadalupe,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72127,San José Citlaltepetl,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72130,San Carlos,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72150,San José del Puente,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72150,Rincón San José del Puente,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72190,San José Vista Hermosa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72190,San Miguel la Rosa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72200,INFONAVIT San Pedro,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72210,San Pedro,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72219,San Sebastián de Aparicio,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72227,San José Aparicio,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72228,INFONAVIT San Aparicio,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72228,San Aparicio las Fuentes,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Rancho San Diego,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,San Miguel Xonacatepec,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Jardines de San José Xonacatepec,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,San Esteban las Aves,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,San Miguel Xonacatepec 2da. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Campestre San Isidro,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Conjunto Habitacional San Andrés,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques San Sebastián,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,San Baltazar la Resurrección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,INFONAVIT Bosques San Sebastían,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72314,San Antonio Abad,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72340,San Luis Gonzaga,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72350,Unidad San Ángel (San Salvador Ch.),Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72360,San Juan Flor del Bosque,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72410,San Miguel Las Pajaritas,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72450,San José Mayorazgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72460,FOVISSSTE San Roque,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
73226,Amanalco,Colonia,Tlaola,Puebla,,
72735,Liquidambar,Fraccionamiento,Cuautlancingo,Puebla,,
72595,18 de Marzo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
74053,Expropiación Petrolera 18 de Marzo,Colonia,San Martín Texmelucan,Puebla,San Martín Texmelucan de Labastida,
72498,San Bernabe Temoxtitla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72474,Arboledas de Loma Bella,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72498,Bosques de la Cañada,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72499,Constitución Mexicana,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,Lomas Coyopotrero,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 1a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 2a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 3a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,San Ramón 4a Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72496,Lomas de San Ramón,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72014,El Conde,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72014,La Condesa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72014,El Conde II,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72016,San José el Conde,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72016,Guadalupe del Conde,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,Flores del Pedregal,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,Granjas Puebla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
74300,Guadalupe Hidalgo,Colonia,Nealtican,Puebla,,
75790,Guadalupe Hidalgo,Colonia,Tehuacán,Puebla,Tehuacán,
72490,2da. Ampliación Guadalupe Hidalgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,Guadalupe Hidalgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,3ra. Ampliación Guadalupe Hidalgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Pedregal de Guadalupe Hidalgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72365,Historiadores,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75858,Resurección,Colonia,Tehuacán,Puebla,,
72490,Lomas de Castillotla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
74295,México,Colonia,Atlixco,Puebla,Atlixco,
72017,México 83,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72014,Miravalle,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,Nueva Democracia,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Primero de Mayo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72200,Revolución Mexicana,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
74330,San Lorenzo,Colonia,Tochimilco,Puebla,,
72595,San Lorenzo,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72595,Santa Catarina,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72016,Seda Monsanto,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72990,SIGNORET,Colonia,Amozoc,Puebla,Amozoc,
72219,Los Cerritos,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72124,Vista Hermosa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72190,San José Vista Hermosa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72270,Vista Hermosa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72320,Álamos Vista Hermosa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72470,Vista Hermosa Cd.Sur,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72070,Quetzalcoatl,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72595,Quetzalcoatl 1a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72595,Quetzalcoatl 2a. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72106,Los Ángeles Barranca Honda,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72219,Ángeles de Puebla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72227,Bosques de los Ángeles,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72400,Santa Cruz los Ángeles,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72440,Los Ángeles Mayorazgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72824,Ángeles de Morillotla,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72495,La Antorchista,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72590,Arboledas de San Ignacio,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72260,Arboledas Guadalupe,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72824,Arcángeles de Morillotla,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72810,Arcángeles Xaltepec,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72768,Arcoiris,Fraccionamiento,San Pedro Cholula,Puebla,San Pedro Cholula,
72595,Artículo Primero Constitucional,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72995,Artículo 123,Colonia,Amozoc,Puebla,Amozoc,
72960,El Oasis Valsequillo,Colonia,Puebla,Puebla,,
72193,Corredor Comercial Desarrollo Atlixcayotl,Zona comercial,Puebla,Puebla,Heroica Puebla de Zaragoza,
72820,Reserva Territorial Atlixcayotl,Equipamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72820,Rincón de Atlixcayotl,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72825,Rinconada Atlixcayotl,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72825,Atlixcayotl 2000,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72835,Geovillas Atlixcayotl la Hacienda,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72836,Geovillas Atlixcayotl,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72023,Zona Cementos Atoyac,Equipamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72410,Granjas Atoyac,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72430,Rivera del Atoyac,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72459,Bosques de Atoyac,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72490,Lomas de Atoyac,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
74590,Atzala,Pueblo,Atzala,Puebla,,
72503,Bandini Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72814,Residencial Barrio Real,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72100,El Boscaje,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan 1ra. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan 2da. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72597,Bosques de Chapultepec,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72520,Héroes de Puebla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72590,Bosques de los Héroes,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Pedregal de Guadalupe Hidalgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,Flores del Pedregal,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72495,Villas del Pedregal,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72523,Lomas del Pedregal,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72103,Pedregal de Santo Domingo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72350,Pedregal,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72150,Bosques de Zavaleta,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72227,Bosques de Santa Anita,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72227,Bosques de los Ángeles,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Galaxia Bosques de Manzanilla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Ampliación Bosques de Santa Anita,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72307,Bosques de Manzanilla,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan 1ra. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Bosques de Amalucan 2da. Sección,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72453,Bosques de Angelopolis,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72459,Bosques de Atoyac,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
75052,Santa Cruz Buena Vista la Capilla,Ranchería,Tlachichuca,Puebla,,
75560,Buena Vista (Colonia Nueva),Colonia,Esperanza,Puebla,,
75588,Buena Vista,Pueblo,Cañada Morelos,Puebla,,
75922,Buena Vista,Ranchería,Eloxochitlán,Puebla,,
73025,Buena Vista,Ranchería,Pantepec,Puebla,,
73173,Santiago (Buena Vista),Fraccionamiento,Huauchinango,Puebla,Huauchinango,
75947,Buena Vista de Cuauhtémoc,Ranchería,San Sebastián Tlacotepec,Puebla,,
73509,Santa Cruz Buena Vista,Ranchería,Tenampulco,Puebla,,
73697,San José Buena Vista,Barrio,Zacapoaxtla,Puebla,,
73902,Buena Vista,Ranchería,Tlatlauquitepec,Puebla,,
73905,Buena Vista,Ranchería,Tlatlauquitepec,Puebla,,
72490,Cabañas de Santa María,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72499,Cabañas del Lago,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72494,Concepción Sur,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72115,Campestre del Bosque,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72595,Campestre del Valle,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72813,Campestre Morillotla,Fraccionamiento,San Andrés Cholula,Puebla,San Andrés Cholula,
72100,Campestre Covadonga,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72115,Campestre del Bosque,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72150,Campestre el Paraíso,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72229,Campestre San Isidro,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Villas Real Campestre,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Villas Real Campestre III,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Real Campestre,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72310,Villas Real Campestre II,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72468,Campestre Mayorazgo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72100,Los Cipreses,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72114,Los Cipreses,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
72150,Cipreses Zavaleta,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,
72464,Rincón de los Cipreses I,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,
72480,Cipreses de Mayorazgo,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,
